NAK-312 Etappe 5, Nacharbeit 1 - Historie der vom Laufzeit-Arm gestarteten Diagnose-FLs (Bauer, 21.09.2026).
Werkzeug: <job>/tmp/fl-historie.ps1 (nur lesen). Start und Beenden aus %LOCALAPPDATA%\evenacadia\nakama-laufzeit\laufzeit.log
(Zeilen 'FL gestartet: PID' und 'Diagnose-FL beenden: PID'), dazu je PID die Energie-Ereignisse des UserModePowerService
(Systemprotokoll, Id 12, FL64.exe). Jedes FL erzeugt eines rund 1 s nach dem Start; ein zweites beim Ende nur, wenn FL selbst
endet (gemessen: Stop-Process mit Exit -1 ohne, Render und WM_CLOSE mit Exit 0 mit Ende-Ereignis; NAK-312-n1-spuren.txt).
Urteil 'SELBST GEENDET nach n s' = letztes Ereignis minus Startzeile (Sekundenaufloesung des Runner-Logs); genaue Lebensdauer
aus den zwei Ereignissen siehe unten.

Anmerkungen:
- 25152 (12.09.) und 2324 (15.09.) 'SELBST GEENDET nach 1 s': PID-Wiederverwendung - das fruehere Ereignis gehoert einem
  anderen Prozess gleicher PID (15:48:07 bzw. 06.08.); beide wurden vom Runner beendet.
- 284032 (21.09. 17:21:56): kein Selbstende - der Bauer schloss es per WM_CLOSE (Rotbeweis M-88), Exit 0.
- 139208 (21.09. 17:32:53): vom Bauer vor dem Kanon per Stop-Process beendet (Exit -1), daher ohne Ende-Ereignis.
- 218184 (21.09. 18:49:05): das Snapshot-FL des zweiten Laufs am Endstand, bei Abschluss dieser Datei noch offen.
- 176680 (21.09. 17:10:11): Selbstende am Produktstand der Etappe 4 (Gegenprobe), Exit 0 laut Prozesswache.

Genaue Lebensdauer der selbst geendeten Runner-FLs (erstes bis letztes Energie-Ereignis):
  29372  12.09. 16:41:51,774 -> 17:49:09,462 = 4037,7 s  (PROBE ea2a9bec)
  1736   15.09. 13:33:57,851 -> 13:43:07,812 =  550,0 s  (NAK-286 d6382571)
  6968   15.09. 14:02:36,509 -> 14:06:03,783 =  207,3 s  (NAK-286 e11dcfcb; waehrend snapshot-runde01, u40 Exit 3 = NAK-307)
  29248  15.09. 18:47:58,955 -> 16.09. 18:34:44,265 = 85605,3 s  (NAK-289 c8286582)
  281856 21.09. 08:05:47,604 -> 08:27:30,181 = 1302,6 s  (NAK-312 dc2aaf1c)
  154952 21.09. 10:07:36,826 -> 12:55:26,422 = 10069,6 s (NAK-312 32813efd)
  78568  21.09. 12:59:58,336 -> 13:21:40,739 = 1302,4 s  (NAK-312 dc2665ba, installiert war das Produkt der Etappe 4)
  381456 21.09. 15:57:37,190 -> 16:00:47,873 =  190,7 s  (NAK-312 64ece9e1, Lauf 1 des Dirigenten, LZ-1)
  316548 21.09. 16:06:26,076 -> 16:08:08,838 =  102,8 s  (NAK-312 64ece9e1, Lauf 2 des Dirigenten, LZ-1)
  176680 21.09. 17:10:12,380 -> 17:15:07,661 =  295,3 s  (Gegenprobe Produkt dc2665ba, dieser Auftrag)

Aeltester Eintrag im Systemprotokoll: 2026-03-02 08:40:19
Spalten: Start | PID | Lauf (Kopf) | Runner beendet | Energie-Ereignisse | Urteil
2026-09-21 05:29:57 | 287632 | NAK-312 aa074e42 | 09-21 05:30:18 | 09-21 05:29:58 | vom Runner beendet
2026-09-21 05:30:19 | 116904 | NAK-312 aa074e42 | 09-21 08:05:09 | 09-21 05:30:19 | vom Runner beendet
2026-09-21 08:05:25 | 196972 | NAK-312 dc2aaf1c | 09-21 08:05:45 | 09-21 08:05:25 | vom Runner beendet
2026-09-21 08:05:46 | 281856 | NAK-312 dc2aaf1c | - | 09-21 08:05:47, 09-21 08:27:30 | SELBST GEENDET nach 1.304 s
2026-09-21 10:07:14 | 326756 | NAK-312 32813efd | 09-21 10:07:34 | 09-21 10:07:15 | vom Runner beendet
2026-09-21 10:07:36 | 154952 | NAK-312 32813efd | - | 09-21 10:07:36, 09-21 12:55:26 | SELBST GEENDET nach 10.070 s
2026-09-21 12:59:33 | 152660 | NAK-312 dc2665ba | 09-21 12:59:56 | 09-21 12:59:34 | vom Runner beendet
2026-09-21 12:59:57 | 78568 | NAK-312 dc2665ba | - | 09-21 12:59:58, 09-21 13:21:40 | SELBST GEENDET nach 1.304 s
2026-09-21 15:57:13 | 234816 | NAK-312 64ece9e1 | 09-21 15:57:35 | 09-21 15:57:14 | vom Runner beendet
2026-09-21 15:57:36 | 381456 | NAK-312 64ece9e1 | - | 09-21 15:57:37, 09-21 16:00:47 | SELBST GEENDET nach 192 s
2026-09-21 16:06:02 | 124160 | NAK-312 64ece9e1 | 09-21 16:06:24 | 09-21 16:06:03 | vom Runner beendet
2026-09-21 16:06:25 | 316548 | NAK-312 64ece9e1 | - | 09-21 16:06:26, 09-21 16:08:08 | SELBST GEENDET nach 104 s
2026-09-21 16:26:46 | 324712 | NAK-312 5f1ca5a6 | 09-21 16:26:58 | 09-21 16:26:47 | vom Runner beendet
2026-09-21 16:26:59 | 231228 | NAK-312 5f1ca5a6 | 09-21 16:32:20 | 09-21 16:27:00 | vom Runner beendet
2026-09-21 16:32:36 | 91628 | NAK-312 5f1ca5a6 | 09-21 16:32:57 | 09-21 16:32:37 | vom Runner beendet
2026-09-21 16:32:58 | 97364 | NAK-312 5f1ca5a6 | 09-21 16:37:14 | 09-21 16:32:59 | vom Runner beendet
2026-09-21 16:37:15 | 75884 | NAK-312 5f1ca5a6 | 09-21 17:05:15 | 09-21 16:37:15 | vom Runner beendet
2026-09-21 17:05:32 | 283736 | NAK-312 5f1ca5a6 | 09-21 17:05:53 | 09-21 17:05:32 | vom Runner beendet
2026-09-21 17:05:54 | 303340 | NAK-312 5f1ca5a6 | 09-21 17:10:10 | 09-21 17:05:55 | vom Runner beendet
2026-09-21 17:10:11 | 176680 | NAK-312 5f1ca5a6 | - | 09-21 17:10:12, 09-21 17:15:07 | SELBST GEENDET nach 297 s
2026-09-21 17:21:42 | 231732 | NAK-312 5f1ca5a6 | 09-21 17:21:55 | 09-21 17:21:43 | vom Runner beendet
2026-09-21 17:21:56 | 284032 | NAK-312 5f1ca5a6 | - | 09-21 17:21:57, 09-21 17:23:26 | SELBST GEENDET nach 91 s
2026-09-21 17:28:14 | 245412 | NAK-312 5f1ca5a6 | 09-21 17:28:35 | 09-21 17:28:15 | vom Runner beendet
2026-09-21 17:28:36 | 238660 | NAK-312 5f1ca5a6 | 09-21 17:32:52 | 09-21 17:28:37 | vom Runner beendet
2026-09-21 17:32:53 | 139208 | NAK-312 5f1ca5a6 | - | 09-21 17:32:54 | kein Ende-Ereignis, nicht vom Runner beendet
2026-09-21 18:33:49 | 71884 | NAK-312 2c138b2d | 09-21 18:34:12 | 09-21 18:33:50 | vom Runner beendet
2026-09-21 18:34:13 | 334432 | NAK-312 2c138b2d | 09-21 18:38:29 | 09-21 18:34:14 | vom Runner beendet
2026-09-21 18:38:30 | 146108 | NAK-312 2c138b2d | 09-21 18:44:13 | 09-21 18:38:30 | vom Runner beendet
2026-09-21 18:44:27 | 368912 | NAK-312 2c138b2d | 09-21 18:44:47 | 09-21 18:44:27 | vom Runner beendet
2026-09-21 18:44:48 | 124548 | NAK-312 2c138b2d | 09-21 18:49:04 | 09-21 18:44:49 | vom Runner beendet
2026-09-21 18:49:05 | 218184 | NAK-312 2c138b2d | - | 09-21 18:49:06 | kein Ende-Ereignis, nicht vom Runner beendet
